food_name,Ingredients,Steps,popularity,URL,jenis_makanan,age,calories,title_length,title_word_count,num_ingredients,ingredients_length,num_steps,steps_length,url_length,loves_usia_interaction,age_group,food_category
Daging Kambing Kecap,"500 gram daging kambing has dalam, iris melintang serat 1cm--100 ml air--3 sdm kecap manis--3 sdm minyak untuk menumis------ Bumbu Halus -------10 siung bawang merah--2 siung bawang putih--1 sdt garam--1 sdt merica--1/4 butir biji pala, parut--","Panaskan minyak, tumis bumbu gamis hingga harum.--Masukkan daging kambing, aduk-aduk hingga daging berubah warna.--Tuangi kecap manis dan air. Masak diatas api sedang hingga daging empuk dan bumbu meresap.--Sajikan hangat--",0,/id/resep/844666-daging-kambing-kecap,kambing,6,366.46,20,3,15,244,5,223,37,0,Remaja,Lainnya
Kari Kambing Ibu Gae,1 ekor kambing muda--10 butir kelapa tua--2 butir kelapa gongseng--1 lt Minyak goreng--1/2 kg mentega--secukupnya Air asam jawa--Bumbu iris:--3/4 kg bawang merah--4 ons bawang putih--Bumbu giling:--1 kg cabe giling--1/2 kg jahe--1/4 kg lengkuas--1 sendok teh kunyit--Bumbu yang disangrai:--1/4 kg ketumbar--1 sendok makan adas manis--1 sendok makan jintan--1 sendok makan kayu manis--1 sendok makan bunga pala--1 sendok makan kas-kas--1 sendok makan kapulaga--1 sendok makan cabe jawa--1 sendok makan halba--1 sendok makan Cengkeh--1 sendok makan merica--1 sendok teh Jintan hitam--1 sendok makan bubuk kunyit--Daun-daunan:--3 batang serai--1 lembar daun kunyit--10 lembar daun jeruk--,"Haluskan bumbu sangrai hingga menjadi menjadi bumbu bubuk--Panaskan minyak dan mentega hingga halus--Tumis bawang putih hingga matang. Setelah bawang putih Mayang masukan irisan bawang merah. Masak hingga harum--Kemudian masukan bumbu sangrai dan bumbu giling. Tumis hingga matang dan termasuk rata--Masukan daun-daunan kedalam tumisan. Tumis kembali hingga harum dan termasuk rata--Setelah semua bumbu teraduk rata masukan cabe giling. Masak hingga cabe matang--Masukan daging kambing yang telah di bersihkan kedalam tumisan bumbu yang tadi. Aduk hingga rata. Ungkep daging kambing hingga ½ matang--Setelah daging ½ matang, masukan santan kelapa. Masak daging kambing hingga matang--Kira-kira 5 menit sebelum matang baru masukan air asam Jawa ke kari kambing--",0,/id/resep/822846-kari-kambing-ibu-gae,kambing,46,1313.61,20,4,33,685,10,761,37,0,Dewasa,Kari
Gulai Iga Kambing,"2 tofu--10 buah cabe rawit merah iris--3 buah bawang putih cincang--1 btg daun bawang iris--secukupnya garam--minyak goreng--400 gram iga kambing--400 gram daging kambing--1500 ml air--400 ml santan kental--1 cm lengkuas, memarkan--1 batang serai memarkan--2 lembar daun salam--2 lembar daun jeruk--4 butir Cengkeh--3 butir Kapulaga--3 cm Kayu manis--secukupnya Gula dan garam--bumbu halus:--80 gram bawang merah, sekitar 7-9buah ukuran kecil--4 siung bawang putih--2 buah cabe merah besar--4 buah kemiri--1 sdt ketumbar--1 sdt lada bubuk--1/4 sdt pala bubuk--1 cm kunyit--","potong tofu jadi 6 bagian kemudian goreng.--tumis bawang putih,cabe,daun bawang,garam.--masukan tofu yg sudah di goreng,aduk perlahan,angkat dan sajikan dengan nasi putih hangat.--Siapkan semua bahan, cuci bersih iga dan daging kambing, potong-potong lalu presto selama 25menit. Sisihkan--Haluskan bumbu, tumis bumbu halus masukkan serai, cengkeh, kapulaga, kayu manis, daun salam, daun jeruk, lengkuas. Masukkan iga dan daging presto tuang air kaldu (ambil 800ml saja) tambahkan santan kental, garam dan gula. Aduk sampai matang. Angkat--Sajikan--",0,/id/resep/323848-gulai-iga-kambing,kambing,50,1358.09,17,3,28,573,7,548,34,0,Lansia,Kari
Nasi Tomat Kambing (rice cooker),400 gram Daging kambing--3 cup beras--2 buah tomat--3 buah cabe merah keriting--5-10 buah cabe rawit (Sesuai selera jika suka pedas)--3 siung bawang putih--3 siung bawang merah--1/2 buah bawang bombay--1/2 sdt jinten bubuk--1/2 sdt kari bubuk--1/2 sdt lada bubuk--4 buah kapulaga--1 ruas jahe--secukupnya daun parsley segar--sesuai selera garam--sesuai selera kaldu bubuk--5 lembar daun salam--6-8 cup air / secukupnya untuk menumis dan memasak nasi--secukupnya minyak goreng--,"cincang tomat, bawang bombay, cabe merah, dan cabe rawit, jahe, dan juga cincang halus bawang putih serta bawang merah, kemudian tumis dengan minyak goreng sampai harum dan tomat mulai empuk--masukan daging kambing yang sudah di potong-potong kecil ke dalam tumisan, masak hingga daging berwarna kecoklatan--setelah daging berubah warna, tambahkan bubuk kari, jinten bubuk, dan kapulaga, serta garam dan lada bubuk kemudian aduk rata sambil terus dimasak--tambahkan air serta masukan daun salam masak hingga mendidih dan daging mulai empuk dan bumbu sudah meresap, kemudian matikan api dan angkat--Cuci bersih beras, masukan ke dalam panci rice cooker, kemudian masukan daging yang sudah di masak tadi beserta kuah dan bumbunya ke dalam panci berisi beras rice cooker tersebut--aduk rata beras dan daging, tambahkan lagi garam dan koreksi rasanya (tidak perlu khawatir jika terlalu asin karena nanti kuah akan menyerap ke dalam nasi dan rasa asinnya menjadi pas)--tambahkan lagi air secukupnya sampai beras terendam, ukuran air untuk memasak nasi dilebihkan sedikit dari pada saat memasak nasi biasa tapi jangan terlalu banyak agar nasi tidak lembek, kemudian taburkan parsley segar yang sudah di cincang.--terakhir masak nasi di rice cooker seperti biasa, Nasi tomat kambing siap di hidangkan. :)--",1,/id/resep/323852-nasi-tomat-kambing-rice-cooker,kambing,38,541.51,32,5,20,477,9,1299,47,38,Dewasa,Lainnya
Sop kambing praktis ala ummu thoriq,1000 gr daging kambing dan tulang--secukupnya Air--Bumbu halus :--sesuai selera Lada--3 siung bawang putih--1/2 bagian biji pala--Bumbu yg tidak di haluskan:--1/4 btg kayu manis--secukupnya Garam--secukupnya Gula--1 buah tomat--secukupnya Daun bawang--sesuai selera Bawang goreng instant--,"Cuci daging kambing dan tulang hingga bersih--Rebus daging kambing dan tulang hingga empuk selama 60 menit--Masukkan bumbu yang di haluskan di tambah kayu manis--Masukkan gula dan garam tunggu hingga bumbu meresap--Setelah bumbu meresap, masukkan daun bawang yg di iris 2 cm. Dan tomat yg telah di potong sesuai selera--Setelah matang, tbrkan bawang goreng--Sajikan untuk 4 orang--",1,/id/resep/294594-sop-kambing-praktis-ala-ummu-thoriq,kambing,18,564.46,35,6,14,289,8,381,52,18,Remaja,Lainnya
Sate Kambing Juicy,500 gram Daging Kambing--200 ml Kecap manis--3 sdm Blue Band--2 sdt lada halus--2 sdt ketumbar halus--5 buah Cabe Rawit--5 Siung Bawang Merah--1 Buah Tomat--,"Daging kambing jangan tersentuh air sama sekali. Iris dadu 1,5 x 1,5cm.--Campurkan lada, ketumbar, cabe rawit yg diiris tipis, blueband dan kecap 200ml. Aduk rata.--Balurkan daging dengan bumbu kecap tadi. Biarkan 10 menit lalu tusuk dengan tusuk sate. 1 tangkai isi 5.--Buat bumbu colekan: Iris bawang merah tipis, tomat iris dadu kecil, lalu tambahkan kecap manis secukupnya.--Letakkan daging diatas panggangan yg sdh disiapkan hangat arangnya. Lalu panggang sampai daging matang tapi jangan sampai gosong. Nikmati selagi hangat.--",0,/id/resep/293927-sate-kambing-juicy,kambing,27,890.46,18,3,9,157,6,533,35,0,Dewasa Muda,Lainnya
Nasi goreng kebuli/kambing,2 buah bawang putih--2 buah bawang merah--sesuai selera cabe rawit merah/hijau--sesuai selera daging kambing yang sudah direbus--2 porsi sedanf nasi putih--1 sdt bumbu gulai siap pakai--secukupnya lada--secukupnya garam--1 sdm kecap manis--minyak goreng--,"Haluskan bawang putih, bawang merah, dan cabai dengan cara bisa diblender atau bisa juga di uleg biasa. Setelah sudah dihaluskan, sisihkan.--Masukan bumbu yang sudah dihaluskan ke dalam panci yang sudah ada minyak panas, tumis sebentar sampai bumbu terasa harum.--Masukan daging kambing yang sudah direbus, masak hingga kirakira sudah empuk. Masukan bumbu gulai siap pakai, aduk.--Masukan nasi putih, beserta kecap manis, garam, merica sesuai selera, lalu aduk rata.--Tambahkan tomat jika diperlukan, sajikan dengan timun sesuai selera.--",2,/id/resep/293587-nasi-goreng-kebulikambing,kambing,41,1113.49,26,3,11,255,6,538,42,82,Dewasa,Lainnya
Bacem Daging Kambing,1/2 kg daging kambing--5 siung bawang putih--5 siung bawang merah--3 sdt Ketumbar--3 buah Asam jawa--Secukupnya Lengkuas--Secukupnya Garam dan penyedap rasa--Secukupnya Gula merah--Secukupnya Kecap manis--3 Lembar Daun Salam--5 sdm minyak utk menumis--Secukupnya air utk merebus--3 Lembar Daun nangka--,"Siapkan bumbu yg dihaluskan : bawang merah, bawang putih, ketumbar, garam, gula merah, asam jawa. Tips nya ulek dulu ketumbar dan garam, baru bawang dan lain nya. Berikan laos di peprek saja, daun salam secukupnya--Siapkan minyak utk menumis dalam wajan, tumis bumbu beserta laos dan daun salam, setelah harum masukkan daging, masak sebentar tambahkan air dan masak sampai daging empuk. Tips nya, agar daging cepat empuk, tambahkan daun nangka 2-3 lembar saat di masak. Masak sampai air mengental dan sat. Bacem kambing siap dihidangkan dgn nasi panas--",1,/id/resep/283972-bacem-daging-kambing,kambing,72,141.57,20,3,14,302,3,553,37,72,Lansia,Lainnya
Resep Daging Kambing Bumbu Kecap Pedas Manis,"Bahan yang dibutuhkan :--300 gr daging kambing--4 btr bawang merah, iris halus--4 bh cabe rawit besar, iris kecil--5 sdm kecap manis--550 ml air--Bumbu Halus--4 siung bawang putih--1 sdt bubuk merica--1/2 sdt ketumbar--3/4 sdt garam--","Potong daging kambing seukuran kotak kecil atau bisa bunda sesuaikan dengan kebutuhan saja, kemudian cuci bersih.
Panaskan minyak dalam wajan kemudian tumis bawang merah sampai sedikit layu. Kemudian masukkan seluruh bumbu yang telah dihaluskan disertai dengan potongan cabe rawit tadi.
Kemudian masukkan daging kambing yang telah bunda cuci bersih tadi, kemudian tumis daging tersebut, jika daging tadi sedikit berubah warna masukkan kecap manis kedalam tumisan tadi, tumis sampai berubah warna atau kecap manis nya sudah meresap kedalam daging nya. 
Kemudian tuang air kedalam tumisan tadi, aduk sampai rata. Masak hingga daging terasa empuk dan air mengering tapi hati-hati dengan menggunakan api kompor jangan terlalu besar untuk menghindari gosong hingga merubah rasa menjadi sedikit pahit. Jika sudah mengering angkat dan sajikan.--",0,/id/resep/292616-resep-daging-kambing-bumbu-kecap-pedas-manis,kambing,74,910.35,44,7,12,234,2,838,61,0,Lansia,Lainnya
Gudeg Kambing Pedas,Bahan Utama--500 gr Nangka Muda--500 gr Daging Kambing--250 gr Tulang Kambing--Rempah Pendukung--3000 cc Air--1000 cc Air Santan Kental(2butir)--500 cc Air kelapa--250 gr Gula Merah/gula jawa--100 gr Gula Pasir--75 gr Garam--5 lbr Daun salam--1 ruas Lengkuas--2 sdt Penyedap--Bahan yang dihaluskan :--10 butir Bawang Putih--7 butir Kemiri goreng--2 sdt Ketumbar sangrai--10 gr Jintan--300 gr Cabai Merah--,Cuci bersih bahan utama lalu rebus bersama Rempah Pendukung dan Bumbu yang dihaluskan sampai daging empuk dan kuah mengental.--Angkat dan bisa langsung dihidangkan.--Bisa juga dimasak sampai kuahnya mengering dan meresap kedalam daging--,0,/id/resep/287044-gudeg-kambing-pedas,kambing,17,1431.59,19,3,21,405,4,237,36,0,Remaja,Lainnya
